# Mach number (​),Drag coefficient (​)
0.020731671349923,0.508286958366359
0.020821338692619,0.507928529084738
0.021077875455519,0.506914449898133
0.021548959827591,0.505094867823474
0.022186673691763,0.502715275948108
0.022983130825962,0.499869536225367
0.023928329525001,0.496659896678443
0.02501109136843,0.493186634221874
0.026219847400273,0.489540820143466
0.027543318961487,0.485800107336565
0.02897090913211,0.482027539495785
0.030492898091374,0.478272240586462
0.032100611349683,0.474570856947616
0.033786394347763,0.470949685164579
0.035543519257075,0.467426802312831
0.037366177322533,0.464013755341921
0.039249349549731,0.46071720905639
0.041188669083311,0.457540280921804
0.043180405650456,0.454483406250949
0.045221347201064,0.451545174232599
0.047308686271762,0.448722960714752
0.049440030490065,0.446013253139976
0.051613312338999,0.443419832629736
0.053826703473557,0.440933526723791
0.056078646291213,0.438547187781208
0.058367786545136,0.436256378678281
0.060692908574486,0.434056776372066
0.06305297860826,0.431944158228169
0.065447092293939,0.42991447150388
0.067874423163234,0.427963880721453
0.070334271207959,0.426088724407304
0.07282602113654,0.424285502634019
0.07534910401653,0.422550189172208
0.077903042177276,0.420879467020806
0.080487413797855,0.419270517844498
0.083101817093392,0.41772072130771
0.08574591788473,0.416227612455042
0.088419419991542,0.414788888693219
0.091122034743658,0.41340241335698
0.093853525600563,0.41206618017103
0.096613682616418,0.410778317104806
0.099402295854125,0.409537088063293
0.102429177554955,0.408272663356239
0.105389574418194,0.407101299495631
0.108300875887908,0.406004618277851
0.111178250833082,0.404971625318003
0.114036358743717,0.403993044145412
0.116890531604047,0.403760540433814
0.119756907391048,0.404096928899201
0.122652151372968,0.404440694366593
0.125596697261611,0.404794515745748
0.128614493317825,0.405161626629422
0.131737323918343,0.405546391453736
0.135006910867363,0.405954653920524
0.138484802958407,0.406395119955631
0.142268771131651,0.406881734942355
0.14653233664721,0.407439419932571
0.151646157933082,0.40813826163618
0.158729209697336,0.40917917853227
0.169579331987673,0.410830889295434
0.179664657215886,0.412430206681762
0.183787810018755,0.413102277259771
0.18715633190562,0.413659327825744
0.190104240036913,0.414152769209132
0.192781228507487,0.414605710721334
0.195264894281708,0.415030098997753
0.197605614324045,0.415433747803718
0.199836110832447,0.415821737028538
0.201980086859485,0.416221778322012
0.204055761087409,0.416613906726732
0.206078315145941,0.416998765967441
0.208059208392507,0.417378357437548
0.210009199286851,0.417754610257669
0.21193726933045,0.418129164985687
0.213852496188847,0.418503728412709
0.215762433092698,0.418879753573384
0.217676240255376,0.419259052424718
0.21960318814627,0.41964350729227
0.221553878433815,0.420035318762975
0.223540406662884,0.420437049617727
0.225575885896117,0.420851540962808
0.227677956778285,0.421282646593936
0.229868451731535,0.4217352044354
0.232177060664631,0.422215847888799
0.2346479665711,0.422734490856108
0.237348865030998,0.423306416830603
0.240399157208713,0.423958656160051
0.244040809982861,0.424746197569134
0.248942173570323,0.425821505507434
0.256370528527374,0.427574437471463
0.267671931436924,0.430343755110604
0.270777469917979,0.431121902490684
0.273404463897777,0.431785992438259
0.275745925068512,0.432382447615985
0.277901551592126,0.432935372912704
0.279925065050295,0.43345774987893
0.281851436331692,0.433958067590475
0.283705466573251,0.434442389466261
